index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty
192.0,hp,HP Pavilion 15-eg3017TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),72999.0,63.0,intel,core i5,10.0,12.0,16.0,SSD,1024.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
193.0,msi,MSI Thin GF63 11SC-1494IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),52990.0,65.0,intel,core i5,6.0,12.0,8.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,2
194.0,msi,,62990.0,73.0,intel,core i5,6.0,12.0,16.0,HDD,1024.0,SSD,,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,No information
195.0,hp,HP Victus 16-s0089AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),87090.0,76.0,amd,ryzen 7,8.0,16.0,,,1024.0,No secondary storage,0.0,nvidia,dedicated,,16.1,,1080.0,windows,1
196.0,lenovo,Lenovo IdeaPad Slim 5i 82XF003CIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),70590.0,62.0,intel,core i5,12.0,,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,16.0,1920.0,1200.0,windows,1
197.0,lenovo,Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),,69.0,intel,core i5,8.0,12.0,16.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,,1920.0,1080.0,windows,1
198.0,lenovo,Lenovo LOQ 15IRH8 82XV00BRIN 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),114990.0,63.0,intel,core i7,10.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,1
199.0,lenovo,Lenovo LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),99990.0,67.0,intel,core i7,10.0,16.0,16.0,,512.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,1
200.0,hp,HP 240 G8 689U2PA Business Laptop (11th Gen Core i3/ 8GB/ 512 GB SSD/ Win11),34990.0,63.0,intel,core i3,,4.0,8.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,14.0,1366.0,768.0,windows,1
201.0,hp,HP Victus 16-D0314TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),64500.0,75.0,intel,core i5,6.0,12.0,16.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,16.1,1920.0,1080.0,windows,1
